"","Location","Range_Min","Range_Max","Magic","Avg_Relative_Error","Max_Relative_Error","N","Bottom"
"2997",45,0.69775390625,0.7132568359375,1597158527,5.25686346009024e-07,1.61083710281673e-06,128,"point0156"
"2998",46,0.7132568359375,0.728759765625,1597180545,7.39895028800674e-07,2.23884444494615e-06,128,"point0156"
"2999",47,0.728759765625,0.7442626953125,1597206024,9.62341459853633e-07,2.98241479868011e-06,128,"point0156"
"3000",48,0.7442626953125,0.759765625,1597234777,1.24151790714677e-06,3.74069304598379e-06,128,"point0156"
"3001",49,0.759765625,0.7752685546875,1597266593,1.51361348343926e-06,4.61835361420526e-06,128,"point0156"
"3002",50,0.7752685546875,0.790771484375,1597301331,1.83893394023471e-06,5.51237508261693e-06,128,"point0156"
"3003",51,0.790771484375,0.8062744140625,1597338999,2.17393449020165e-06,6.46675835014321e-06,128,"point0156"
"3004",52,0.8062744140625,0.82177734375,1597379159,2.50256402978266e-06,7.56455074224505e-06,128,"point0156"
"3005",53,0.82177734375,0.8372802734375,1597421892,2.8736833428411e-06,8.61731678014621e-06,128,"point0156"
"3006",54,0.8372802734375,0.852783203125,1597467036,3.22703726851614e-06,9.70819655776722e-06,128,"point0156"
"3007",55,0.852783203125,0.8682861328125,1597514449,3.56575947080273e-06,1.08859785541426e-05,128,"point0156"
"3008",56,0.8682861328125,0.8837890625,1597564156,3.9826750253269e-06,1.21033926916425e-05,128,"point0156"
"3009",57,0.8837890625,0.8992919921875,1597615956,4.47733691544272e-06,1.32265367938089e-05,128,"point0156"
"3010",58,0.8992919921875,0.914794921875,1597669784,4.86517728859326e-06,1.45831718327827e-05,128,"point0156"
"3011",59,0.914794921875,0.9302978515625,1597725476,5.26736494066427e-06,1.57522099470953e-05,128,"point0156"
"3012",60,0.9302978515625,0.94580078125,1597783084,5.66927428735653e-06,1.71321717061801e-05,128,"point0156"
"3013",61,0.94580078125,0.9613037109375,1597842379,6.21876188233728e-06,1.84670334419934e-05,128,"point0156"
"3014",62,0.9613037109375,0.976806640625,1597903458,6.65434299662593e-06,1.98696689039934e-05,128,"point0156"
"3015",63,0.976806640625,0.9923095703125,1597966159,7.07296703694738e-06,2.12075501622166e-05,128,"point0156"
"3016",64,0.9923095703125,1.0078125,1598013485,4.70887101755579e-07,1.49017864714551e-06,128,"point0156"
"3017",65,1.0078125,1.0233154296875,1597966250,1.73151454418985e-06,5.26577969139908e-06,128,"point0156"
"3018",66,1.0233154296875,1.038818359375,1597905766,1.61848458901659e-06,4.88394516651169e-06,128,"point0156"
"3019",67,1.038818359375,1.0543212890625,1597847910,1.47888374613103e-06,4.49561684945365e-06,128,"point0156"
"3020",68,1.0543212890625,1.06982421875,1597792774,1.37212271056342e-06,4.16184911955497e-06,128,"point0156"
"3021",69,1.06982421875,1.0853271484375,1597740179,1.26659983834543e-06,3.82244888896821e-06,128,"point0156"
"3022",70,1.0853271484375,1.100830078125,1597690187,1.15843988623965e-06,3.5395787563175e-06,128,"point0156"
"3023",71,1.100830078125,1.1163330078125,1597642651,1.05535514194344e-06,3.25195696859737e-06,128,"point0156"
"3024",72,1.1163330078125,1.1318359375,1597597391,9.69584220911202e-07,2.98036593449069e-06,128,"point0156"
"3025",73,1.1318359375,1.1473388671875,1597554414,8.92145465059002e-07,2.72686042990244e-06,128,"point0156"
"3026",74,1.1473388671875,1.162841796875,1597513568,8.19057902390341e-07,2.50670109380735e-06,128,"point0156"
"3027",75,1.162841796875,1.1783447265625,1597474899,7.42261818231782e-07,2.31390004046261e-06,128,"point0156"
"3028",76,1.1783447265625,1.19384765625,1597438287,6.75718183629215e-07,2.08401843337924e-06,128,"point0156"
"3029",77,1.19384765625,1.2093505859375,1597403507,6.19518345956749e-07,1.88879482720949e-06,128,"point0156"
"3030",78,1.2093505859375,1.224853515625,1597370816,5.47419460872334e-07,1.71511885582731e-06,128,"point0156"
"3031",79,1.224853515625,1.2403564453125,1597339887,4.98819872518652e-07,1.58320847276627e-06,128,"point0156"
"3032",80,1.2403564453125,1.255859375,1597310643,4.47763000011037e-07,1.40268878112693e-06,128,"point0156"
"3033",81,1.255859375,1.2713623046875,1597283279,3.99240434489911e-07,1.26923521293065e-06,128,"point0156"
"3034",82,1.2713623046875,1.286865234375,1597257607,3.55508717575503e-07,1.14260626560281e-06,128,"point0156"
"3035",83,1.286865234375,1.3023681640625,1597233628,3.17642246727701e-07,1.01429100141104e-06,128,"point0156"
"3036",84,1.3023681640625,1.31787109375,1597211224,2.77841422757774e-07,8.89525779257383e-07,128,"point0156"
"3037",85,1.31787109375,1.3333740234375,1597190084,2.43659911802752e-07,8.21177536636242e-07,128,"point0156"
"3038",86,1.3333740234375,1.348876953125,1597170939,2.17239573885308e-07,7.5709408520197e-07,128,"point0156"
"3039",87,1.348876953125,1.3643798828125,1597152620,1.88083248531257e-07,6.26570056283526e-07,128,"point0156"
"3040",88,1.3643798828125,1.3798828125,1597135842,1.61169410262119e-07,5.571423002948e-07,128,"point0156"
"3041",89,1.3798828125,1.3953857421875,1597120853,1.38600185550786e-07,4.92843014399114e-07,128,"point0156"
"3042",90,1.3953857421875,1.410888671875,1597106972,1.1840385383266e-07,4.24777056196035e-07,128,"point0156"
"3043",91,1.410888671875,1.4263916015625,1597094487,9.93144126937295e-08,3.55928079898149e-07,128,"point0156"
"3044",92,1.4263916015625,1.44189453125,1597083292,8.35322140346761e-08,2.86289832729381e-07,128,"point0156"
"3045",93,1.44189453125,1.4573974609375,1597072706,7.10098007061788e-08,2.86411761862837e-07,128,"point0156"
"3046",94,1.4573974609375,1.472900390625,1597064235,5.81366492724555e-08,2.17013322867388e-07,128,"point0156"
"3047",95,1.472900390625,1.4884033203125,1597056083,5.01121952822814e-08,2.17223401932642e-07,128,"point0156"
"3048",96,1.4884033203125,1.50390625,1597050084,4.27658193302705e-08,2.18159414089314e-07,128,"point0156"
"3049",97,1.50390625,1.5194091796875,1597044156,3.81860694176339e-08,1.46938987199974e-07,128,"point0156"
"3050",98,1.5194091796875,1.534912109375,1597039248,3.79676237116655e-08,1.47650297321889e-07,128,"point0156"
"3051",99,1.534912109375,1.5504150390625,1597036003,3.5743596527027e-08,1.48328737736847e-07,128,"point0156"
"3052",100,1.5504150390625,1.56591796875,1597033737,3.58295153546351e-08,1.4904836120877e-07,128,"point0156"
"3053",101,1.56591796875,1.5814208984375,1597033310,2.88649424362575e-08,1.49727455323045e-07,128,"point0156"
"3054",102,1.5814208984375,1.596923828125,1597032974,2.92041342220273e-08,1.50495594652966e-07,128,"point0156"
"3055",103,1.596923828125,1.6124267578125,1597034015,2.99620275256984e-08,1.5119870511171e-07,128,"point0156"
"3056",104,1.6124267578125,1.6279296875,1597035963,3.42184200974316e-08,1.51888883692664e-07,128,"point0156"
"3057",105,1.6279296875,1.6434326171875,1597038591,4.07499065602224e-08,1.52692123833731e-07,128,"point0156"
"3058",106,1.6434326171875,1.658935546875,1597041447,3.95502901540112e-08,1.53522861978672e-07,128,"point0156"
"3059",107,1.658935546875,1.6744384765625,1597045034,3.8216441566874e-08,1.54251409867356e-07,128,"point0156"
"3060",108,1.6744384765625,1.68994140625,1597049924,4.19769250470381e-08,1.54965675847052e-07,128,"point0156"
"3061",109,1.68994140625,1.7054443359375,1597055489,4.49708643657232e-08,2.3245689817486e-07,128,"point0156"
"3062",110,1.7054443359375,1.720947265625,1597062498,5.50192282844364e-08,2.33622358791763e-07,128,"point0156"
"3063",111,1.720947265625,1.7364501953125,1597069996,6.26289278216063e-08,2.35624256106348e-07,128,"point0156"
"3064",112,1.7364501953125,1.751953125,1597077746,6.82182559330613e-08,2.36679866816303e-07,128,"point0156"
"3065",113,1.751953125,1.7674560546875,1597086960,7.96625911902993e-08,3.15675833917339e-07,128,"point0156"
"3066",114,1.7674560546875,1.782958984375,1597096310,8.89456188701843e-08,3.18351027317476e-07,128,"point0156"
"3067",115,1.782958984375,1.7984619140625,1597106816,1.02093700604655e-07,3.97978169530688e-07,128,"point0156"
"3068",116,1.7984619140625,1.81396484375,1597117924,1.1540338107352e-07,4.01384255610537e-07,128,"point0156"
"3069",117,1.81396484375,1.8294677734375,1597129614,1.27497472135474e-07,4.81701420085301e-07,128,"point0156"
"3070",118,1.8294677734375,1.844970703125,1597142116,1.42456954677073e-07,4.85758960167004e-07,128,"point0156"
"3071",119,1.844970703125,1.8604736328125,1597155213,1.54801540475091e-07,5.66748497021763e-07,128,"point0156"
"3072",120,1.8604736328125,1.8759765625,1597168980,1.70907540564258e-07,5.71462351217633e-07,128,"point0156"
"3073",121,1.8759765625,1.8914794921875,1597183506,1.90398921517954e-07,6.53173913178762e-07,128,"point0156"
"3074",122,1.8914794921875,1.906982421875,1597198365,2.03145106070224e-07,6.58477915749245e-07,128,"point0156"
"3075",123,1.906982421875,1.9224853515625,1597214122,2.22889994461184e-07,7.40887514893984e-07,128,"point0156"
"3076",124,1.9224853515625,1.93798828125,1597230247,2.43142210365477e-07,8.26452890123619e-07,128,"point0156"
"3077",125,1.93798828125,1.9534912109375,1597247132,2.54646579378459e-07,8.33077081097144e-07,128,"point0156"
"3078",126,1.9534912109375,1.968994140625,1597264675,2.76620426120644e-07,9.16461203814833e-07,128,"point0156"
"3079",127,1.968994140625,1.9844970703125,1597282304,2.97157839668216e-07,9.23628988402925e-07,128,"point0156"
"3080",128,1.9844970703125,2,1597300852,3.1257513910532e-07,1.00766533250862e-06,128,"point0156"
"3081",1,0.0078125,0.505859375,1597463165,0.000926736276596785,0.00175113300792873,4,"point00781"
"3082",2,0.505859375,1.00390625,1598021667,1.304700987248e-07,4.18046425920693e-07,4,"point00781"
"3083",3,1.00390625,1.501953125,1597479418,0.000606132321991026,0.00150830892380327,4,"point00781"
"3084",4,1.501953125,2,1597178921,0.000100251105322968,0.000182955351192504,4,"point00781"
"3085",1,0.0078125,0.33984375,1597463133,0.000822431815322489,0.00175086106173694,6,"point00781"
"3086",2,0.33984375,0.671875,1597201965,7.06498976796865e-05,0.000124318525195122,6,"point00781"
"3087",3,0.671875,1.00390625,1598021770,1.3004047616505e-07,4.1804605643847e-07,6,"point00781"
"3088",4,1.00390625,1.3359375,1597563552,0.000381466466933489,0.00107342808041722,6,"point00781"
"3089",5,1.3359375,1.66796875,1597101411,2.30846417252906e-05,4.05115715693682e-05,6,"point00781"
"3090",6,1.66796875,2,1597183240,6.76362324156798e-05,0.000171030784258619,6,"point00781"
"3091",1,0.0078125,0.2568359375,1597463171,0.000986423809081316,0.0017512091435492,8,"point00781"
"3092",2,0.2568359375,0.505859375,1597300087,3.50379735891693e-07,1.10217627025122e-06,8,"point00781"
"3093",3,0.505859375,0.7548828125,1597192944,4.63467440567911e-05,0.000102000456536189,8,"point00781"
"3094",4,0.7548828125,1.00390625,1598021782,1.30935717379543e-07,4.18046369077274e-07,8,"point00781"
"3095",5,1.00390625,1.2529296875,1597636674,0.000256476952927187,0.000753779604565352,8,"point00781"
"3096",6,1.2529296875,1.501953125,1597168741,4.50417974207085e-05,0.000117959207273088,8,"point00781"
"3097",7,1.501953125,1.7509765625,1597057370,2.84819839180273e-06,5.36322659172583e-06,8,"point00781"
"3098",8,1.7509765625,2,1597199321,4.64597760583274e-05,0.000130400454509072,8,"point00781"
"3099",1,0.0078125,0.173828125,1597463158,0.00103049166500568,0.0017511477926746,12,"point00781"
"3100",2,0.173828125,0.33984375,1597553964,0.00043255536002107,0.0011951377382502,12,"point00781"
"3101",3,0.33984375,0.505859375,1597300111,3.55105044036463e-07,1.1022162880181e-06,12,"point00781"
"3102",4,0.505859375,0.671875,1597192980,5.77721730223857e-05,0.00010208337334916,12,"point00781"
"3103",5,0.671875,0.837890625,1597292605,0.000163639502716251,0.000415677059208974,12,"point00781"
"3104",6,0.837890625,1.00390625,1598021846,1.32658485085813e-07,4.18046482764112e-07,12,"point00781"
"3105",7,1.00390625,1.169921875,1597733898,0.000139677285915241,0.000415780203184113,12,"point00781"
"3106",8,1.169921875,1.3359375,1597321356,5.0795657443814e-05,0.000148930819705129,12,"point00781"
"3107",9,1.3359375,1.501953125,1597110326,1.15033253678121e-05,3.15567303914577e-05,12,"point00781"
"3108",10,1.501953125,1.66796875,1597039699,2.10766714303645e-07,5.84476993026328e-07,12,"point00781"
"3109",11,1.66796875,1.833984375,1597093053,7.70742462918861e-06,2.07862030947581e-05,12,"point00781"
"3110",12,1.833984375,2,1597226461,2.52361423918046e-05,7.45056313462555e-05,12,"point00781"
"3111",1,0.0078125,0.118489583333333,1597463170,0.000961070647463202,0.00175120960921049,18,"point00781"
